"Product name","Price"
"iPhone SE 2022","11490000"
"iPhone 14 Pro Max","28490000"
"iPhone 14 Pro","25990000"
"iPhone 14 Plus","22990000"
"iPhone 14","19990000"
"iPhone 13 Pro Max","28990000"
"iPhone 13","17990000"
"iPhone 12","15599000"
"iPhone 11 64GB","11299000"
"iPad Pro 12.9 2022 M2 WiFi Bản Nâng Cao","50990000"
"iPad Pro 12.9 2022 M2 WiFi 5G Bản Nâng Cao","54990000"
"iPad Pro 12.9 2022 M2 WiFi 5G","33990000"
"iPad Pro 12.9 2022 M2 WiFi","29990000"
"iPad Pro 11 2022 M2 WiFi Bản Nâng Cao","43990000"
"iPad Pro 11 2022 M2 WiFi 5G Bản Nâng Cao","47990000"
"iPad Pro 11 2022 M2 WiFi 5G","26490000"
"iPad Pro 11 2022 M2 WiFi","21690000"
"iPad Pro 11 2021 M1 Wi-Fi Bản Nâng Cao","42999000"
"iPad Mini 6 2021 8.3 inch WiFi 5G","15990000"
"iPad Mini 6 2021 8.3 inch WiFi","12690000"
"iPad Gen 9 2021 10.2 inch WiFi Cellular","10990000"
"iPad Gen 9 2021 10.2 inch WiFi","7890000"
"iPad Gen 10 2022 10.9 inch WiFi 5G","14990000"
"iPad Gen 10 2022 10.9 inch WiFi","11490000"
"iPad Air 5 2022 10.9 inch M1 WiFi 5G","17990000"
"iPad Air 5 2022 10.9 inch M1 WiFi","14990000"
"MacBook Pro M2 2022 13 inch Ram 16GB","37490000"
"MacBook Pro M2 2022 13 inch","31990000"
"MacBook Pro 16"" 2021 M1 Pro Ram 32GB","68990000"
"MacBook Pro 16"" 2021 M1 Pro","62990000"
"MacBook Pro 16 2023 M2 Pro 12CPU 19GPU 32GB/512GB","76990000"
"MacBook Pro 16 2023 M2 Pro 12CPU 19GPU","65990000"
"MacBook Pro 16 2023 M2 Max 12CPU 38GPU 32GB/1TB","92990000"
"MacBook Pro 14"" 2021 M1 Pro Ram 32GB","58990000"
"MacBook Pro 14"" 2021 M1 Pro","46990000"
"MacBook Pro 14 2023 M2 Pro 12CPU 19GPU 16GB/1TB","65990000"
"MacBook Pro 14 2023 M2 Pro 10CPU 16GPU 32GB/512GB","63990000"
"MacBook Pro 14 2023 M2 Pro 10CPU 16GPU 16GB/512GB","52990000"
"MacBook Pro 14 2023 M2 Max 12CPU 30GPU 32GB/1TB","81990000"
"MacBook Pro 13"" 2020 Touch Bar M1 256GB","27999000"
"MacBook Air M2 2022 13 inch Ram 16GB","34490000"
"MacBook Air M2 2022 13 inch","26390000"
"MacBook Air 13"" 2020 M1 Ram 16GB","27999000"
"MacBook Air 13"" 2020 M1 256GB","19999000"
